                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.49759,                0.87981,                      1,                0.46118,             0.00023727,             0.00023727,             0.00023727
                      2,                0.28552,                0.90865,                      1,                0.42747,             0.00047057,             0.00047057,             0.00047057
                      3,                0.25379,                0.91346,                      1,                0.41224,             0.00069915,             0.00069915,             0.00069915
                      4,                0.23059,                0.90705,                      1,                0.40964,             0.00069279,             0.00069279,             0.00069279
                      5,                0.19525,                0.92308,                      1,                0.40012,             0.00068573,             0.00068573,             0.00068573
                      6,                0.19515,                0.94391,                      1,                0.38037,             0.00067866,             0.00067866,             0.00067866
                      7,                0.18998,                0.93109,                      1,                0.38612,             0.00067159,             0.00067159,             0.00067159
                      8,                0.17461,                0.92788,                      1,                0.39557,             0.00066452,             0.00066452,             0.00066452
                      9,                0.16889,                0.92308,                      1,                 0.3887,             0.00065745,             0.00065745,             0.00065745
                     10,                0.17339,                0.89904,                      1,                0.41692,             0.00065038,             0.00065038,             0.00065038
                     11,                0.14927,                0.92788,                      1,                0.39169,             0.00064331,             0.00064331,             0.00064331
                     12,                0.15652,                 0.9359,                      1,                0.37994,             0.00063625,             0.00063625,             0.00063625
                     13,                0.15256,                 0.9391,                      1,                0.38512,             0.00062918,             0.00062918,             0.00062918
                     14,                0.13774,                 0.9375,                      1,                0.38308,             0.00062211,             0.00062211,             0.00062211
                     15,                0.14927,                 0.9391,                      1,                0.38093,             0.00061504,             0.00061504,             0.00061504
                     16,                 0.1464,                0.92949,                      1,                0.38323,             0.00060797,             0.00060797,             0.00060797
                     17,                0.13339,                0.91987,                      1,                0.40156,              0.0006009,              0.0006009,              0.0006009
                     18,                0.14211,                 0.9375,                      1,                 0.3772,             0.00059383,             0.00059383,             0.00059383
                     19,                 0.1273,                0.94071,                      1,                0.38108,             0.00058677,             0.00058677,             0.00058677
                     20,                0.12512,                0.94231,                      1,                0.37782,              0.0005797,              0.0005797,              0.0005797
                     21,                0.12154,                0.94231,                      1,                0.38279,             0.00057263,             0.00057263,             0.00057263
                     22,                0.11845,                 0.9391,                      1,                 0.3769,             0.00056556,             0.00056556,             0.00056556
                     23,                 0.1196,                0.92308,                      1,                0.38937,             0.00055849,             0.00055849,             0.00055849
                     24,                0.12634,                 0.9375,                      1,                 0.3796,             0.00055142,             0.00055142,             0.00055142
                     25,                0.12276,                0.92468,                      1,                0.39016,             0.00054435,             0.00054435,             0.00054435
                     26,                0.13119,                0.91667,                      1,                0.39502,             0.00053728,             0.00053728,             0.00053728
                     27,                0.11635,                0.92468,                      1,                0.38362,             0.00053022,             0.00053022,             0.00053022
                     28,                0.11138,                0.94391,                      1,                0.37537,             0.00052315,             0.00052315,             0.00052315
                     29,                0.12168,                0.94551,                      1,                0.37533,             0.00051608,             0.00051608,             0.00051608
                     30,                0.11034,                 0.9375,                      1,                0.38369,             0.00050901,             0.00050901,             0.00050901
                     31,                0.11272,                0.93109,                      1,                0.38153,             0.00050194,             0.00050194,             0.00050194
                     32,                0.10619,                0.94551,                      1,                0.37474,             0.00049487,             0.00049487,             0.00049487
                     33,                 0.1112,                 0.9391,                      1,                0.37993,              0.0004878,              0.0004878,              0.0004878
                     34,                0.10827,                0.94071,                      1,                0.37732,             0.00048074,             0.00048074,             0.00048074
                     35,                0.10613,                0.95032,                      1,                0.37061,             0.00047367,             0.00047367,             0.00047367
                     36,                0.10971,                0.94391,                      1,                0.38147,              0.0004666,              0.0004666,              0.0004666
                     37,                0.09776,                0.94712,                      1,                0.37666,             0.00045953,             0.00045953,             0.00045953
                     38,                0.10583,                 0.9359,                      1,                0.38068,             0.00045246,             0.00045246,             0.00045246
                     39,                0.10561,                0.94391,                      1,                0.37412,             0.00044539,             0.00044539,             0.00044539
                     40,                0.10775,                0.95032,                      1,                0.37043,             0.00043832,             0.00043832,             0.00043832
                     41,                0.10557,                0.95513,                      1,                0.37123,             0.00043126,             0.00043126,             0.00043126
                     42,                0.09833,                0.94391,                      1,                0.37322,             0.00042419,             0.00042419,             0.00042419
                     43,                0.09552,                0.94712,                      1,                0.37358,             0.00041712,             0.00041712,             0.00041712
                     44,                0.09313,                0.94231,                      1,                0.37416,             0.00041005,             0.00041005,             0.00041005
                     45,                 0.0965,                0.94712,                      1,                0.37853,             0.00040298,             0.00040298,             0.00040298
                     46,                 0.0999,                0.94872,                      1,                0.37346,             0.00039591,             0.00039591,             0.00039591
                     47,                 0.0995,                0.94551,                      1,                0.37201,             0.00038884,             0.00038884,             0.00038884
                     48,                 0.1007,                0.94551,                      1,                0.36719,             0.00038178,             0.00038178,             0.00038178
                     49,                 0.0889,                0.93269,                      1,                0.37443,             0.00037471,             0.00037471,             0.00037471
                     50,                0.10346,                0.95032,                      1,                0.37567,             0.00036764,             0.00036764,             0.00036764
                     51,                0.10305,                0.94712,                      1,                0.36793,             0.00036057,             0.00036057,             0.00036057
                     52,                0.09541,                0.95032,                      1,                0.36919,              0.0003535,              0.0003535,              0.0003535
                     53,                0.08717,                0.94872,                      1,                0.37209,             0.00034643,             0.00034643,             0.00034643
                     54,                0.08307,                0.94071,                      1,                 0.3728,             0.00033936,             0.00033936,             0.00033936
                     55,                 0.0897,                0.95673,                      1,                 0.3686,              0.0003323,              0.0003323,              0.0003323
                     56,                0.10196,                0.95032,                      1,                0.36864,             0.00032523,             0.00032523,             0.00032523
