                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.39828,                0.92625,                      1,                0.39523,             0.00023664,             0.00023664,             0.00023664
                      2,                0.20742,                0.96625,                      1,                0.35056,             0.00046994,             0.00046994,             0.00046994
                      3,                0.15821,                0.97625,                      1,                0.34177,             0.00069853,             0.00069853,             0.00069853
                      4,                0.13053,                  0.995,                      1,                0.32449,             0.00069279,             0.00069279,             0.00069279
                      5,                0.12806,                 0.9875,                      1,                0.33418,             0.00068573,             0.00068573,             0.00068573
                      6,                0.11294,                0.98625,                      1,                0.32908,             0.00067866,             0.00067866,             0.00067866
                      7,                0.09589,                0.98875,                      1,                0.32442,             0.00067159,             0.00067159,             0.00067159
                      8,                0.10266,                   0.99,                      1,                0.32469,             0.00066452,             0.00066452,             0.00066452
                      9,                0.09497,                0.98875,                      1,                0.32514,             0.00065745,             0.00065745,             0.00065745
                     10,                0.10836,                  0.985,                      1,                0.32978,             0.00065038,             0.00065038,             0.00065038
                     11,                0.08405,                  0.995,                      1,                0.32104,             0.00064331,             0.00064331,             0.00064331
                     12,                0.07804,                 0.9875,                      1,                0.32653,             0.00063625,             0.00063625,             0.00063625
                     13,                0.07955,                0.99375,                      1,                0.32016,             0.00062918,             0.00062918,             0.00062918
                     14,                0.07758,                0.98875,                      1,                0.32374,             0.00062211,             0.00062211,             0.00062211
                     15,                0.08035,                0.99625,                      1,                0.31951,             0.00061504,             0.00061504,             0.00061504
                     16,                0.07116,                0.99375,                      1,                0.31954,             0.00060797,             0.00060797,             0.00060797
                     17,                0.07952,                0.99125,                      1,                0.32256,              0.0006009,              0.0006009,              0.0006009
                     18,                0.06234,                0.99375,                      1,                0.32047,             0.00059383,             0.00059383,             0.00059383
                     19,                0.07366,                 0.9925,                      1,                0.32172,             0.00058677,             0.00058677,             0.00058677
                     20,                0.06246,                 0.9925,                      1,                0.32122,              0.0005797,              0.0005797,              0.0005797
                     21,                0.05994,                0.99125,                      1,                  0.323,             0.00057263,             0.00057263,             0.00057263
                     22,                0.06544,                 0.9925,                      1,                 0.3236,             0.00056556,             0.00056556,             0.00056556
                     23,                0.07057,                0.99625,                      1,                0.31995,             0.00055849,             0.00055849,             0.00055849
                     24,                0.06133,                  0.995,                      1,                0.31998,             0.00055142,             0.00055142,             0.00055142
                     25,                0.07568,                0.99625,                      1,                0.32107,             0.00054435,             0.00054435,             0.00054435
                     26,                 0.0696,                  0.995,                      1,                0.31946,             0.00053728,             0.00053728,             0.00053728
                     27,                0.05389,                0.99375,                      1,                0.31854,             0.00053022,             0.00053022,             0.00053022
                     28,                0.06086,                  0.995,                      1,                0.32145,             0.00052315,             0.00052315,             0.00052315
                     29,                0.05343,                0.99375,                      1,                0.31835,             0.00051608,             0.00051608,             0.00051608
                     30,                0.06373,                0.99125,                      1,                0.32163,             0.00050901,             0.00050901,             0.00050901
                     31,                0.05398,                0.99375,                      1,                0.32061,             0.00050194,             0.00050194,             0.00050194
                     32,                0.06195,                  0.995,                      1,                0.32076,             0.00049487,             0.00049487,             0.00049487
                     33,                0.05373,                0.99375,                      1,                0.31901,              0.0004878,              0.0004878,              0.0004878
                     34,                0.05874,                0.99375,                      1,                 0.3232,             0.00048074,             0.00048074,             0.00048074
                     35,                0.05205,                 0.9925,                      1,                0.32101,             0.00047367,             0.00047367,             0.00047367
                     36,                0.04152,                0.99375,                      1,                0.31881,              0.0004666,              0.0004666,              0.0004666
                     37,                0.04458,                0.99375,                      1,                0.31988,             0.00045953,             0.00045953,             0.00045953
                     38,                0.04347,                0.99375,                      1,                0.31832,             0.00045246,             0.00045246,             0.00045246
                     39,                0.04237,                 0.9925,                      1,                0.31907,             0.00044539,             0.00044539,             0.00044539
                     40,                0.05634,                 0.9925,                      1,                0.32053,             0.00043832,             0.00043832,             0.00043832
                     41,                 0.0505,                 0.9925,                      1,                0.31961,             0.00043126,             0.00043126,             0.00043126
                     42,                0.06661,                0.99125,                      1,                0.32309,             0.00042419,             0.00042419,             0.00042419
                     43,                0.05603,                 0.9925,                      1,                0.32262,             0.00041712,             0.00041712,             0.00041712
                     44,                0.04292,                 0.9925,                      1,                0.32186,             0.00041005,             0.00041005,             0.00041005
                     45,                0.04865,                 0.9925,                      1,                0.32054,             0.00040298,             0.00040298,             0.00040298
                     46,                0.04942,                0.99375,                      1,                0.32038,             0.00039591,             0.00039591,             0.00039591
                     47,                0.04576,                0.99375,                      1,                0.31979,             0.00038884,             0.00038884,             0.00038884
                     48,                0.05354,                0.99125,                      1,                0.32313,             0.00038178,             0.00038178,             0.00038178
                     49,                0.03638,                0.99375,                      1,                 0.3204,             0.00037471,             0.00037471,             0.00037471
                     50,                0.04152,                0.99125,                      1,                0.32337,             0.00036764,             0.00036764,             0.00036764
