epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.8127,1.05927,1.91171,1.74827,1.12198,0.78858,0.73723,0.78458,0.46159,0.79841,0.72993,0.78977,0.47181,1.25476,2.20112,1.68898,1.59618,0.000663978,0.000663978,0.000663978
2,118.732,1.1241,1.97535,1.29043,1.1792,0.76069,0.71533,0.75657,0.47619,0.77762,0.7402,0.74902,0.48259,1.45067,2.09119,1.1475,1.64413,0.00131747,0.00131747,0.00131747
3,163.998,1.12652,1.99083,1.18186,1.18748,0.82397,0.68613,0.78937,0.497,0.83716,0.63504,0.72953,0.48864,1.33432,2.25239,1.50893,1.56251,0.00195777,0.00195777,0.00195777
4,209.782,1.10773,1.99214,1.11032,1.17726,0.77173,0.70803,0.77016,0.51075,0.76378,0.70073,0.76801,0.50558,1.40595,2.24874,1.25674,1.56705,0.0019406,0.0019406,0.0019406
5,255.249,1.06992,1.89997,1.04895,1.15704,0.92661,0.70073,0.82711,0.55919,0.92842,0.70073,0.8327,0.57019,1.12011,2.46301,0.95528,1.38843,0.0019208,0.0019208,0.0019208
6,301.042,1.03374,1.86851,1.0006,1.13742,0.92636,0.73458,0.82021,0.56541,0.90407,0.72263,0.80713,0.57991,1.08165,2.20426,1.36295,1.38217,0.001901,0.001901,0.001901
7,346.737,1.01561,1.81922,0.98436,1.13147,0.80141,0.7953,0.84112,0.58342,0.78866,0.78992,0.81624,0.57477,0.89218,2.33075,0.87853,1.21889,0.0018812,0.0018812,0.0018812
8,392.119,0.98537,1.77283,0.93841,1.11476,0.92699,0.70803,0.85012,0.59037,0.91596,0.70073,0.84281,0.60667,0.90722,1.84709,0.91035,1.22376,0.0018614,0.0018614,0.0018614
9,437.379,0.97977,1.74474,0.92966,1.1131,0.90705,0.72263,0.82364,0.58053,0.88208,0.73723,0.80878,0.58264,0.91361,1.61551,0.84785,1.25975,0.0018416,0.0018416,0.0018416
10,483.289,0.96846,1.74608,0.91239,1.10432,0.78496,0.79937,0.81955,0.59256,0.79312,0.78353,0.79266,0.59716,0.90939,1.90859,0.98214,1.24897,0.0018218,0.0018218,0.0018218
11,527.818,0.94739,1.71144,0.89211,1.10073,0.81366,0.76495,0.83381,0.61969,0.8672,0.75912,0.83964,0.62238,1.16877,1.84734,0.96962,1.50973,0.001802,0.001802,0.001802
12,572.839,0.93732,1.68286,0.87971,1.09615,0.84604,0.76212,0.84802,0.58308,0.86848,0.79562,0.84328,0.59017,1.15743,1.82714,0.96294,1.49908,0.0017822,0.0017822,0.0017822
13,617.745,0.91755,1.63024,0.85394,1.07936,0.81432,0.76642,0.82636,0.62447,0.83388,0.76948,0.83186,0.59598,1.24589,1.84223,0.86864,1.51167,0.0017624,0.0017624,0.0017624
14,662.906,0.91276,1.6365,0.84213,1.08377,0.90132,0.72263,0.85159,0.6017,0.90193,0.72263,0.84313,0.61582,0.95304,1.67512,1.03168,1.28624,0.0017426,0.0017426,0.0017426
15,708.631,0.91062,1.6338,0.84255,1.07977,0.87432,0.72993,0.81622,0.58188,0.78247,0.78767,0.82354,0.60394,1.22013,1.9907,1.10863,1.48262,0.0017228,0.0017228,0.0017228
16,753.809,0.90613,1.63114,0.82802,1.07534,0.80299,0.80292,0.84723,0.62578,0.80299,0.80292,0.84466,0.61772,0.99025,1.98978,1.55403,1.33418,0.001703,0.001703,0.001703
17,799.089,0.88684,1.58774,0.81899,1.06959,0.86802,0.76809,0.86234,0.61527,0.86428,0.75912,0.8502,0.62129,1.00316,2.00436,0.89951,1.28024,0.0016832,0.0016832,0.0016832
18,844.406,0.88795,1.5781,0.81431,1.06856,0.87496,0.71505,0.85275,0.6268,0.88752,0.74875,0.86389,0.63985,1.15606,1.81405,1.00192,1.44143,0.0016634,0.0016634,0.0016634
19,889.248,0.87676,1.60927,0.8113,1.06395,0.86027,0.80292,0.85747,0.63494,0.83734,0.78911,0.84481,0.63681,0.9437,1.83461,0.91866,1.23338,0.0016436,0.0016436,0.0016436
20,935.089,0.87164,1.56635,0.78981,1.05715,0.91227,0.75906,0.86506,0.62994,0.84823,0.77509,0.8478,0.6347,0.81431,1.47919,0.7481,1.19063,0.0016238,0.0016238,0.0016238
21,980.7,0.86317,1.53371,0.78308,1.05432,0.84873,0.80292,0.84631,0.62058,0.81714,0.81546,0.85029,0.61536,0.90305,1.77535,0.89695,1.18206,0.001604,0.001604,0.001604
22,1025.45,0.86878,1.57648,0.79261,1.05893,0.88829,0.75454,0.84117,0.63002,0.87969,0.74724,0.8316,0.62058,0.88225,1.82636,0.86309,1.22619,0.0015842,0.0015842,0.0015842
23,1072.09,0.87034,1.53248,0.79269,1.05307,0.96112,0.72177,0.86092,0.63344,0.97084,0.72907,0.86574,0.64507,0.88791,1.83525,0.80554,1.23272,0.0015644,0.0015644,0.0015644
24,1117.32,0.85349,1.53312,0.76821,1.04349,0.89586,0.75912,0.86615,0.65154,0.88909,0.76067,0.86307,0.64486,1.09459,1.57987,0.91284,1.41687,0.0015446,0.0015446,0.0015446
25,1163.15,0.84588,1.5227,0.75912,1.04409,0.87797,0.80292,0.88593,0.655,0.90857,0.79795,0.87242,0.64665,1.06733,1.59722,0.74635,1.41674,0.0015248,0.0015248,0.0015248
26,1209.25,0.84453,1.49277,0.76088,1.04827,0.92196,0.73723,0.86547,0.65746,0.82961,0.81022,0.87098,0.6544,1.12115,1.37287,0.91988,1.45169,0.001505,0.001505,0.001505
27,1254.99,0.82988,1.51393,0.74501,1.03726,0.8619,0.76642,0.86125,0.6554,0.8619,0.76642,0.86996,0.65363,0.91796,1.26051,0.84722,1.23156,0.0014852,0.0014852,0.0014852
28,1299.81,0.82604,1.48121,0.73928,1.03787,0.86379,0.81022,0.87221,0.64794,0.85601,0.80292,0.85754,0.64063,1.13748,1.5925,0.78167,1.55244,0.0014654,0.0014654,0.0014654
29,1345.65,0.81856,1.46854,0.72679,1.03318,0.8378,0.83942,0.88119,0.62913,0.82323,0.82482,0.86228,0.62986,0.87569,1.52919,0.81225,1.1987,0.0014456,0.0014456,0.0014456
