epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.8822,0.79142,2.64829,1.19528,0.0042,0.97143,0.55507,0.37452,0.46206,3.04178,1.05619,0.00012,0.00012,0.00012
2,18.2844,0.7259,2.48846,1.23342,0.00432,1,0.67976,0.44021,0.59657,3.08512,1.16648,0.000259743,0.000259743,0.000259743
3,24.3968,0.76403,2.27058,1.19472,0.00432,1,0.70367,0.47445,0.58149,3.07077,1.18309,0.000399208,0.000399208,0.000399208
4,30.4131,0.77093,2.00281,1.21908,0.00432,1,0.67807,0.48401,0.59886,3.03841,1.21436,0.000538396,0.000538396,0.000538396
5,36.7348,0.81284,1.74153,1.21909,0.00432,1,0.69703,0.41606,0.78163,3.08362,1.46412,0.000677307,0.000677307,0.000677307
6,42.5678,0.86887,1.63643,1.26713,0.00432,1,0.46704,0.25053,0.90965,3.16906,1.57074,0.000815941,0.000815941,0.000815941
7,49.3412,0.93485,1.62171,1.31929,0.00432,1,0.6234,0.3541,1.15272,3.10809,1.91061,0.000954298,0.000954298,0.000954298
8,56.3825,0.89681,1.50163,1.24594,0.00432,1,0.59374,0.26766,1.13713,3.12375,1.87756,0.00109238,0.00109238,0.00109238
9,63.7803,0.87462,1.47841,1.23459,0.0042,0.97143,0.19346,0.09827,1.63745,3.26394,2.23085,0.00123018,0.00123018,0.00123018
10,70.1993,0.93895,1.46154,1.3209,0.00395,0.91429,0.23093,0.1084,1.64462,3.24132,2.22129,0.0013677,0.0013677,0.0013677
11,77.4427,0.94338,1.43835,1.27233,0.86423,0.18276,0.43512,0.1567,1.52872,3.10601,2.31419,0.00150495,0.00150495,0.00150495
12,85.1908,0.9239,1.40018,1.26459,0.95553,0.28571,0.61964,0.28334,1.28449,2.92786,2.13682,0.00164192,0.00164192,0.00164192
13,92.3006,0.94045,1.38868,1.32272,0.68802,0.2,0.46374,0.22568,1.34704,2.99102,2.19164,0.00177862,0.00177862,0.00177862
14,99.1756,0.99767,1.34331,1.40754,0.52788,0.22857,0.37964,0.20447,1.28817,2.9006,2.32009,0.00191503,0.00191503,0.00191503
15,105.528,1.0389,1.46131,1.38618,0.55664,0.43052,0.43823,0.20609,1.30641,2.91854,2.26594,0.00197228,0.00197228,0.00197228
16,113.262,1.0177,1.36966,1.35361,0.26778,0.47031,0.24757,0.10414,1.63976,2.87879,2.66423,0.0019703,0.0019703,0.0019703
17,121.731,1.07663,1.48297,1.3509,0.28738,0.4,0.29168,0.13991,1.60348,2.8046,2.51961,0.00196832,0.00196832,0.00196832
18,131.685,1.01639,1.38071,1.37733,0.20326,0.4,0.25745,0.13392,1.53498,2.77981,2.27424,0.00196634,0.00196634,0.00196634
19,141.489,0.89483,1.29224,1.26557,0.57483,0.37143,0.41941,0.22955,1.4116,3.1468,2.7261,0.00196436,0.00196436,0.00196436
20,152.328,0.96509,1.30952,1.34881,0.67345,0.37143,0.40453,0.20609,1.36349,3.99268,2.65602,0.00196238,0.00196238,0.00196238
21,163.773,1.00652,1.35449,1.37412,0.44345,0.48571,0.37752,0.23109,1.3447,3.29828,2.46573,0.0019604,0.0019604,0.0019604
22,175.505,1.14672,1.50125,1.54208,0.5589,0.507,0.44873,0.23454,1.39952,2.55439,2.36771,0.00195842,0.00195842,0.00195842
23,187.123,0.89803,1.26142,1.28284,0.67831,0.42195,0.39685,0.20253,1.35088,2.06481,2.41545,0.00195644,0.00195644,0.00195644
24,198.811,0.94285,1.169,1.30605,0.37568,0.48571,0.36212,0.18455,1.4678,2.96745,2.49075,0.00195446,0.00195446,0.00195446
25,211.771,0.94632,1.18683,1.27037,0.37987,0.37143,0.32325,0.1811,1.56086,3.68101,2.59354,0.00195248,0.00195248,0.00195248
26,222.895,0.90003,1.1594,1.25027,0.54635,0.45714,0.43008,0.2279,1.47102,3.46802,2.24023,0.0019505,0.0019505,0.0019505
27,234.038,0.88059,1.12807,1.29221,0.52509,0.45714,0.37287,0.12484,1.69897,3.33368,2.46143,0.00194852,0.00194852,0.00194852
28,246.061,0.93471,1.14437,1.28547,0.41138,0.4,0.2707,0.11269,1.73843,2.97386,2.61497,0.00194654,0.00194654,0.00194654
29,259.331,0.89285,1.11739,1.27219,0.50965,0.48571,0.41168,0.18861,1.61684,2.68431,2.372,0.00194456,0.00194456,0.00194456
30,272.622,0.9521,1.19399,1.30964,0.59231,0.31429,0.32813,0.19376,1.79008,3.39327,2.88863,0.00194258,0.00194258,0.00194258
31,283.639,1.00198,1.2311,1.32323,0.40171,0.4,0.3401,0.17892,1.60646,2.68187,2.24479,0.0019406,0.0019406,0.0019406
32,295.402,0.92343,1.15432,1.2544,0.13184,0.27345,0.13989,0.09709,1.89855,2.84915,2.38534,0.00193862,0.00193862,0.00193862
33,308.26,1.01553,1.1615,1.31672,0.19228,0.28571,0.13684,0.08102,1.87644,2.85968,2.49185,0.00193664,0.00193664,0.00193664
34,320.008,0.88577,1.08974,1.26349,0.18384,0.2,0.0897,0.05557,2.07195,3.31816,2.56906,0.00193466,0.00193466,0.00193466
35,331.744,0.86643,1.02438,1.24655,0.28824,0.2,0.10708,0.0524,2.04927,2.8606,2.50438,0.00193268,0.00193268,0.00193268
36,345.296,0.83756,0.99981,1.22394,0.65733,0.22857,0.21146,0.09027,1.92106,2.68167,2.40329,0.0019307,0.0019307,0.0019307
37,359.331,0.85471,0.92529,1.22162,0.53535,0.28571,0.22868,0.07285,1.85293,2.69317,2.35598,0.00192872,0.00192872,0.00192872
38,375.449,0.91143,1.01205,1.26821,0.49857,0.22857,0.21904,0.09447,1.86428,2.65163,2.29317,0.00192674,0.00192674,0.00192674
39,389.699,0.88865,1.05385,1.25725,0.57756,0.28571,0.27416,0.08601,2.05328,2.65152,2.60662,0.00192476,0.00192476,0.00192476
40,404.93,0.8612,1.01951,1.22067,0.74796,0.25458,0.25089,0.11876,1.67977,2.47569,2.31491,0.00192278,0.00192278,0.00192278
41,420.722,0.86164,0.99579,1.26305,0.68983,0.31429,0.28855,0.13333,1.55739,2.14087,2.24658,0.0019208,0.0019208,0.0019208
42,436.603,0.87128,0.96434,1.21176,0.70073,0.34286,0.348,0.13352,1.60781,2.07665,2.28906,0.00191882,0.00191882,0.00191882
