epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1262.18,1.23792,1.67851,1.24577,0.96042,0.67147,0.68996,0.42056,1.30186,1.04426,1.27828,0.00333082,0.00333082,0.00333082
2,3015.93,1.23089,0.8736,1.22539,0.96625,0.72092,0.74054,0.47368,1.30753,0.75307,1.28498,0.00665755,0.00665755,0.00665755
3,4910.12,1.27489,0.8242,1.26488,0.92786,0.85058,0.88831,0.50494,1.52071,0.81362,1.41901,0.00997769,0.00997769,0.00997769
4,7019.59,1.28026,0.79804,1.28556,0.95168,0.85647,0.90102,0.54278,1.40524,0.70475,1.35659,0.0099703,0.0099703,0.0099703
5,8989.65,1.24417,0.72487,1.26517,0.96109,0.90359,0.95313,0.59636,1.36728,0.61835,1.32342,0.0099604,0.0099604,0.0099604
6,10918.5,1.21949,0.69586,1.24767,0.97235,0.90707,0.94775,0.61322,1.28726,0.56493,1.2627,0.0099505,0.0099505,0.0099505
7,12693.1,1.20908,0.66808,1.24156,0.96055,0.93152,0.96116,0.61411,1.29369,0.57755,1.2772,0.0099406,0.0099406,0.0099406
8,14427.5,1.19187,0.64986,1.23161,0.97126,0.91946,0.95776,0.62867,1.26077,0.56152,1.25229,0.0099307,0.0099307,0.0099307
9,16396.8,1.16793,0.62862,1.21438,0.96152,0.92495,0.94968,0.6153,1.29089,0.53333,1.2549,0.0099208,0.0099208,0.0099208
10,18303.3,1.16134,0.61169,1.21338,0.96833,0.93996,0.97302,0.65274,1.20598,0.50157,1.2133,0.0099109,0.0099109,0.0099109
11,20154.8,1.1552,0.60922,1.21032,0.95045,0.94465,0.96772,0.65244,1.22171,0.49522,1.2169,0.009901,0.009901,0.009901
12,21879,1.15034,0.60153,1.20647,0.973,0.93246,0.96501,0.65684,1.18827,0.49183,1.20518,0.0098911,0.0098911,0.0098911
